"","concentration","date"
"1",315.42,1959-01-01 00:00:00
"2",316.31,1959-01-31 10:00:01
"3",316.5,1959-03-02 20:00:01
"4",317.56,1959-04-02 06:00:01
"5",318.13,1959-05-02 16:00:01
"6",318,1959-06-02 02:00:01
"7",316.39,1959-07-02 12:00:01
"8",314.65,1959-08-01 22:00:01
"9",313.68,1959-09-01 08:00:01
"10",313.18,1959-10-01 18:00:01
"11",314.66,1959-11-01 04:00:01
"12",315.43,1959-12-01 14:00:01
"13",316.27,1960-01-01 00:00:01
"14",316.81,1960-01-31 12:00:01
"15",317.42,1960-03-02 00:00:01
"16",318.87,1960-04-01 12:00:01
"17",319.87,1960-05-02 00:00:01
"18",319.43,1960-06-01 12:00:01
"19",318.01,1960-07-02 00:00:01
"20",315.74,1960-08-01 12:00:01
"21",314,1960-09-01 00:00:01
"22",313.68,1960-10-01 12:00:01
"23",314.84,1960-11-01 00:00:01
"24",316.03,1960-12-01 12:00:01
"25",316.73,1961-01-01 00:00:01
"26",317.54,1961-01-31 10:00:01
"27",318.38,1961-03-02 20:00:01
"28",319.31,1961-04-02 06:00:01
"29",320.42,1961-05-02 16:00:01
"30",319.61,1961-06-02 02:00:01
"31",318.42,1961-07-02 12:00:01
"32",316.63,1961-08-01 22:00:01
"33",314.83,1961-09-01 08:00:01
"34",315.16,1961-10-01 18:00:01
"35",315.94,1961-11-01 04:00:01
"36",316.85,1961-12-01 14:00:01
"37",317.78,1962-01-01 00:00:01
"38",318.4,1962-01-31 10:00:01
"39",319.53,1962-03-02 20:00:01
"40",320.42,1962-04-02 06:00:01
"41",320.85,1962-05-02 16:00:01
"42",320.45,1962-06-02 02:00:01
"43",319.45,1962-07-02 12:00:01
"44",317.25,1962-08-01 22:00:01
"45",316.11,1962-09-01 08:00:01
"46",315.27,1962-10-01 18:00:01
"47",316.53,1962-11-01 04:00:01
"48",317.53,1962-12-01 14:00:01
"49",318.58,1963-01-01 00:00:01
"50",318.92,1963-01-31 10:00:01
"51",319.7,1963-03-02 20:00:01
"52",321.22,1963-04-02 06:00:01
"53",322.08,1963-05-02 16:00:01
"54",321.31,1963-06-02 02:00:01
"55",319.58,1963-07-02 12:00:01
"56",317.61,1963-08-01 22:00:01
"57",316.05,1963-09-01 08:00:01
"58",315.83,1963-10-01 18:00:01
"59",316.91,1963-11-01 04:00:01
"60",318.2,1963-12-01 14:00:01
"61",319.41,1964-01-01 00:00:01
"62",320.07,1964-01-31 12:00:01
"63",320.74,1964-03-02 00:00:01
"64",321.4,1964-04-01 12:00:01
"65",322.06,1964-05-02 00:00:01
"66",321.73,1964-06-01 12:00:01
"67",320.27,1964-07-02 00:00:01
"68",318.54,1964-08-01 12:00:01
"69",316.54,1964-09-01 00:00:01
"70",316.71,1964-10-01 12:00:01
"71",317.53,1964-11-01 00:00:01
"72",318.55,1964-12-01 12:00:01
"73",319.27,1965-01-01 00:00:01
"74",320.28,1965-01-31 10:00:01
"75",320.73,1965-03-02 20:00:01
"76",321.97,1965-04-02 06:00:01
"77",322,1965-05-02 16:00:01
"78",321.71,1965-06-02 02:00:01
"79",321.05,1965-07-02 12:00:01
"80",318.71,1965-08-01 22:00:01
"81",317.66,1965-09-01 08:00:01
"82",317.14,1965-10-01 18:00:01
"83",318.7,1965-11-01 04:00:01
"84",319.25,1965-12-01 14:00:01
"85",320.46,1966-01-01 00:00:01
"86",321.43,1966-01-31 10:00:01
"87",322.23,1966-03-02 20:00:01
"88",323.54,1966-04-02 06:00:01
"89",323.91,1966-05-02 16:00:01
"90",323.59,1966-06-02 02:00:01
"91",322.24,1966-07-02 12:00:01
"92",320.2,1966-08-01 22:00:01
"93",318.48,1966-09-01 08:00:01
"94",317.94,1966-10-01 18:00:01
"95",319.63,1966-11-01 04:00:01
"96",320.87,1966-12-01 14:00:01
"97",322.17,1967-01-01 00:00:01
"98",322.34,1967-01-31 10:00:01
"99",322.88,1967-03-02 20:00:01
"100",324.25,1967-04-02 06:00:01
"101",324.83,1967-05-02 16:00:01
"102",323.93,1967-06-02 02:00:01
"103",322.38,1967-07-02 12:00:01
"104",320.76,1967-08-01 22:00:01
"105",319.1,1967-09-01 08:00:01
"106",319.24,1967-10-01 18:00:01
"107",320.56,1967-11-01 04:00:01
"108",321.8,1967-12-01 14:00:01
"109",322.4,1968-01-01 00:00:01
"110",322.99,1968-01-31 12:00:01
"111",323.73,1968-03-02 00:00:01
"112",324.86,1968-04-01 12:00:01
"113",325.4,1968-05-02 00:00:01
"114",325.2,1968-06-01 12:00:01
"115",323.98,1968-07-02 00:00:01
"116",321.95,1968-08-01 12:00:01
"117",320.18,1968-09-01 00:00:01
"118",320.09,1968-10-01 12:00:01
"119",321.16,1968-11-01 00:00:01
"120",322.74,1968-12-01 12:00:01
"121",323.83,1969-01-01 00:00:01
"122",324.26,1969-01-31 10:00:01
"123",325.47,1969-03-02 20:00:01
"124",326.5,1969-04-02 06:00:01
"125",327.21,1969-05-02 16:00:01
"126",326.54,1969-06-02 02:00:01
"127",325.72,1969-07-02 12:00:01
"128",323.5,1969-08-01 22:00:01
"129",322.22,1969-09-01 08:00:01
"130",321.62,1969-10-01 18:00:01
"131",322.69,1969-11-01 04:00:01
"132",323.95,1969-12-01 14:00:01
"133",324.89,1970-01-01 00:00:00
"134",325.82,1970-01-31 10:00:00
"135",326.77,1970-03-02 20:00:00
"136",327.97,1970-04-02 06:00:00
"137",327.91,1970-05-02 16:00:00
"138",327.5,1970-06-02 02:00:00
"139",326.18,1970-07-02 12:00:00
"140",324.53,1970-08-01 22:00:00
"141",322.93,1970-09-01 08:00:00
"142",322.9,1970-10-01 18:00:00
"143",323.85,1970-11-01 04:00:00
"144",324.96,1970-12-01 14:00:00
"145",326.01,1971-01-01 00:00:00
"146",326.51,1971-01-31 10:00:00
"147",327.01,1971-03-02 20:00:00
"148",327.62,1971-04-02 06:00:00
"149",328.76,1971-05-02 16:00:00
"150",328.4,1971-06-02 02:00:00
"151",327.2,1971-07-02 12:00:00
"152",325.27,1971-08-01 22:00:00
"153",323.2,1971-09-01 08:00:00
"154",323.4,1971-10-01 18:00:00
"155",324.63,1971-11-01 04:00:00
"156",325.85,1971-12-01 14:00:00
"157",326.6,1972-01-01 00:00:00
"158",327.47,1972-01-31 12:00:00
"159",327.58,1972-03-02 00:00:00
"160",329.56,1972-04-01 12:00:00
"161",329.9,1972-05-02 00:00:00
"162",328.92,1972-06-01 12:00:00
"163",327.88,1972-07-02 00:00:00
"164",326.16,1972-08-01 12:00:00
"165",324.68,1972-09-01 00:00:00
"166",325.04,1972-10-01 12:00:00
"167",326.34,1972-11-01 00:00:00
"168",327.39,1972-12-01 12:00:00
"169",328.37,1973-01-01 00:00:00
"170",329.4,1973-01-31 10:00:00
"171",330.14,1973-03-02 20:00:00
"172",331.33,1973-04-02 06:00:00
"173",332.31,1973-05-02 16:00:00
"174",331.9,1973-06-02 02:00:00
"175",330.7,1973-07-02 12:00:00
"176",329.15,1973-08-01 22:00:00
"177",327.35,1973-09-01 08:00:00
"178",327.02,1973-10-01 18:00:00
"179",327.99,1973-11-01 04:00:00
"180",328.48,1973-12-01 14:00:00
"181",329.18,1974-01-01 00:00:00
"182",330.55,1974-01-31 10:00:00
"183",331.32,1974-03-02 20:00:00
"184",332.48,1974-04-02 06:00:00
"185",332.92,1974-05-02 16:00:00
"186",332.08,1974-06-02 02:00:00
"187",331.01,1974-07-02 12:00:00
"188",329.23,1974-08-01 22:00:00
"189",327.27,1974-09-01 08:00:00
"190",327.21,1974-10-01 18:00:00
"191",328.29,1974-11-01 04:00:00
"192",329.41,1974-12-01 14:00:00
"193",330.23,1975-01-01 00:00:00
"194",331.25,1975-01-31 10:00:00
"195",331.87,1975-03-02 20:00:00
"196",333.14,1975-04-02 06:00:00
"197",333.8,1975-05-02 16:00:00
"198",333.43,1975-06-02 02:00:00
"199",331.73,1975-07-02 12:00:00
"200",329.9,1975-08-01 22:00:00
"201",328.4,1975-09-01 08:00:00
"202",328.17,1975-10-01 18:00:00
"203",329.32,1975-11-01 04:00:00
"204",330.59,1975-12-01 14:00:00
"205",331.58,1976-01-01 00:00:00
"206",332.39,1976-01-31 12:00:00
"207",333.33,1976-03-02 00:00:00
"208",334.41,1976-04-01 12:00:00
"209",334.71,1976-05-02 00:00:00
"210",334.17,1976-06-01 12:00:00
"211",332.89,1976-07-02 00:00:00
"212",330.77,1976-08-01 12:00:00
"213",329.14,1976-09-01 00:00:00
"214",328.78,1976-10-01 12:00:00
"215",330.14,1976-11-01 00:00:00
"216",331.52,1976-12-01 12:00:00
"217",332.75,1977-01-01 00:00:00
"218",333.24,1977-01-31 10:00:00
"219",334.53,1977-03-02 20:00:00
"220",335.9,1977-04-02 06:00:00
"221",336.57,1977-05-02 16:00:00
"222",336.1,1977-06-02 02:00:00
"223",334.76,1977-07-02 12:00:00
"224",332.59,1977-08-01 22:00:00
"225",331.42,1977-09-01 08:00:00
"226",330.98,1977-10-01 18:00:00
"227",332.24,1977-11-01 04:00:00
"228",333.68,1977-12-01 14:00:00
"229",334.8,1978-01-01 00:00:00
"230",335.22,1978-01-31 10:00:00
"231",336.47,1978-03-02 20:00:00
"232",337.59,1978-04-02 06:00:00
"233",337.84,1978-05-02 16:00:00
"234",337.72,1978-06-02 02:00:00
"235",336.37,1978-07-02 12:00:00
"236",334.51,1978-08-01 22:00:00
"237",332.6,1978-09-01 08:00:00
"238",332.38,1978-10-01 18:00:00
"239",333.75,1978-11-01 04:00:00
"240",334.78,1978-12-01 14:00:00
"241",336.05,1979-01-01 00:00:00
"242",336.59,1979-01-31 10:00:00
"243",337.79,1979-03-02 20:00:00
"244",338.71,1979-04-02 06:00:00
"245",339.3,1979-05-02 16:00:00
"246",339.12,1979-06-02 02:00:00
"247",337.56,1979-07-02 12:00:00
"248",335.92,1979-08-01 22:00:00
"249",333.75,1979-09-01 08:00:00
"250",333.7,1979-10-01 18:00:00
"251",335.12,1979-11-01 04:00:00
"252",336.56,1979-12-01 14:00:00
"253",337.84,1980-01-01 00:00:00
"254",338.19,1980-01-31 12:00:00
"255",339.91,1980-03-02 00:00:00
"256",340.6,1980-04-01 12:00:00
"257",341.29,1980-05-02 00:00:00
"258",341,1980-06-01 12:00:00
"259",339.39,1980-07-02 00:00:00
"260",337.43,1980-08-01 12:00:00
"261",335.72,1980-09-01 00:00:00
"262",335.84,1980-10-01 12:00:00
"263",336.93,1980-11-01 00:00:00
"264",338.04,1980-12-01 12:00:00
"265",339.06,1981-01-01 00:00:00
"266",340.3,1981-01-31 10:00:00
"267",341.21,1981-03-02 20:00:00
"268",342.33,1981-04-02 06:00:00
"269",342.74,1981-05-02 16:00:00
"270",342.08,1981-06-02 02:00:00
"271",340.32,1981-07-02 12:00:00
"272",338.26,1981-08-01 22:00:00
"273",336.52,1981-09-01 08:00:00
"274",336.68,1981-10-01 18:00:00
"275",338.19,1981-11-01 04:00:00
"276",339.44,1981-12-01 14:00:00
"277",340.57,1982-01-01 00:00:00
"278",341.44,1982-01-31 10:00:00
"279",342.53,1982-03-02 20:00:00
"280",343.39,1982-04-02 06:00:00
"281",343.96,1982-05-02 16:00:00
"282",343.18,1982-06-02 02:00:00
"283",341.88,1982-07-02 12:00:00
"284",339.65,1982-08-01 22:00:00
"285",337.81,1982-09-01 08:00:00
"286",337.69,1982-10-01 18:00:00
"287",339.09,1982-11-01 04:00:00
"288",340.32,1982-12-01 14:00:00
"289",341.2,1983-01-01 00:00:00
"290",342.35,1983-01-31 10:00:00
"291",342.93,1983-03-02 20:00:00
"292",344.77,1983-04-02 06:00:00
"293",345.58,1983-05-02 16:00:00
"294",345.14,1983-06-02 02:00:00
"295",343.81,1983-07-02 12:00:00
"296",342.21,1983-08-01 22:00:00
"297",339.69,1983-09-01 08:00:00
"298",339.82,1983-10-01 18:00:00
"299",340.98,1983-11-01 04:00:00
"300",342.82,1983-12-01 14:00:00
"301",343.52,1984-01-01 00:00:00
"302",344.33,1984-01-31 12:00:00
"303",345.11,1984-03-02 00:00:00
"304",346.88,1984-04-01 12:00:00
"305",347.25,1984-05-02 00:00:00
"306",346.62,1984-06-01 12:00:00
"307",345.22,1984-07-02 00:00:00
"308",343.11,1984-08-01 12:00:00
"309",340.9,1984-09-01 00:00:00
"310",341.18,1984-10-01 12:00:00
"311",342.8,1984-11-01 00:00:00
"312",344.04,1984-12-01 12:00:00
"313",344.79,1985-01-01 00:00:00
"314",345.82,1985-01-31 10:00:00
"315",347.25,1985-03-02 20:00:00
"316",348.17,1985-04-02 06:00:00
"317",348.74,1985-05-02 16:00:00
"318",348.07,1985-06-02 02:00:00
"319",346.38,1985-07-02 12:00:00
"320",344.51,1985-08-01 22:00:00
"321",342.92,1985-09-01 08:00:00
"322",342.62,1985-10-01 18:00:00
"323",344.06,1985-11-01 04:00:00
"324",345.38,1985-12-01 14:00:00
"325",346.11,1986-01-01 00:00:00
"326",346.78,1986-01-31 10:00:00
"327",347.68,1986-03-02 20:00:00
"328",349.37,1986-04-02 06:00:00
"329",350.03,1986-05-02 16:00:00
"330",349.37,1986-06-02 02:00:00
"331",347.76,1986-07-02 12:00:00
"332",345.73,1986-08-01 22:00:00
"333",344.68,1986-09-01 08:00:00
"334",343.99,1986-10-01 18:00:00
"335",345.48,1986-11-01 04:00:00
"336",346.72,1986-12-01 14:00:00
"337",347.84,1987-01-01 00:00:00
"338",348.29,1987-01-31 10:00:00
"339",349.23,1987-03-02 20:00:00
"340",350.8,1987-04-02 06:00:00
"341",351.66,1987-05-02 16:00:00
"342",351.07,1987-06-02 02:00:00
"343",349.33,1987-07-02 12:00:00
"344",347.92,1987-08-01 22:00:00
"345",346.27,1987-09-01 08:00:00
"346",346.18,1987-10-01 18:00:00
"347",347.64,1987-11-01 04:00:00
"348",348.78,1987-12-01 14:00:00
"349",350.25,1988-01-01 00:00:00
"350",351.54,1988-01-31 12:00:00
"351",352.05,1988-03-02 00:00:00
"352",353.41,1988-04-01 12:00:00
"353",354.04,1988-05-02 00:00:00
"354",353.62,1988-06-01 12:00:00
"355",352.22,1988-07-02 00:00:00
"356",350.27,1988-08-01 12:00:00
"357",348.55,1988-09-01 00:00:00
"358",348.72,1988-10-01 12:00:00
"359",349.91,1988-11-01 00:00:00
"360",351.18,1988-12-01 12:00:00
"361",352.6,1989-01-01 00:00:00
"362",352.92,1989-01-31 10:00:00
"363",353.53,1989-03-02 20:00:00
"364",355.26,1989-04-02 06:00:00
"365",355.52,1989-05-02 16:00:00
"366",354.97,1989-06-02 02:00:00
"367",353.75,1989-07-02 12:00:00
"368",351.52,1989-08-01 22:00:00
"369",349.64,1989-09-01 08:00:00
"370",349.83,1989-10-01 18:00:00
"371",351.14,1989-11-01 04:00:00
"372",352.37,1989-12-01 14:00:00
"373",353.5,1990-01-01 00:00:00
"374",354.55,1990-01-31 10:00:00
"375",355.23,1990-03-02 20:00:00
"376",356.04,1990-04-02 06:00:00
"377",357,1990-05-02 16:00:00
"378",356.07,1990-06-02 02:00:00
"379",354.67,1990-07-02 12:00:00
"380",352.76,1990-08-01 22:00:00
"381",350.82,1990-09-01 08:00:00
"382",351.04,1990-10-01 18:00:00
"383",352.69,1990-11-01 04:00:00
"384",354.07,1990-12-01 14:00:00
"385",354.59,1991-01-01 00:00:00
"386",355.63,1991-01-31 10:00:00
"387",357.03,1991-03-02 20:00:00
"388",358.48,1991-04-02 06:00:00
"389",359.22,1991-05-02 16:00:00
"390",358.12,1991-06-02 02:00:00
"391",356.06,1991-07-02 12:00:00
"392",353.92,1991-08-01 22:00:00
"393",352.05,1991-09-01 08:00:00
"394",352.11,1991-10-01 18:00:00
"395",353.64,1991-11-01 04:00:00
"396",354.89,1991-12-01 14:00:00
"397",355.88,1992-01-01 00:00:00
"398",356.63,1992-01-31 12:00:00
"399",357.72,1992-03-02 00:00:00
"400",359.07,1992-04-01 12:00:00
"401",359.58,1992-05-02 00:00:00
"402",359.17,1992-06-01 12:00:00
"403",356.94,1992-07-02 00:00:00
"404",354.92,1992-08-01 12:00:00
"405",352.94,1992-09-01 00:00:00
"406",353.23,1992-10-01 12:00:00
"407",354.09,1992-11-01 00:00:00
"408",355.33,1992-12-01 12:00:00
"409",356.63,1993-01-01 00:00:00
"410",357.1,1993-01-31 10:00:00
"411",358.32,1993-03-02 20:00:00
"412",359.41,1993-04-02 06:00:00
"413",360.23,1993-05-02 16:00:00
"414",359.55,1993-06-02 02:00:00
"415",357.53,1993-07-02 12:00:00
"416",355.48,1993-08-01 22:00:00
"417",353.67,1993-09-01 08:00:00
"418",353.95,1993-10-01 18:00:00
"419",355.3,1993-11-01 04:00:00
"420",356.78,1993-12-01 14:00:00
"421",358.34,1994-01-01 00:00:00
"422",358.89,1994-01-31 10:00:00
"423",359.95,1994-03-02 20:00:00
"424",361.25,1994-04-02 06:00:00
"425",361.67,1994-05-02 16:00:00
"426",360.94,1994-06-02 02:00:00
"427",359.55,1994-07-02 12:00:00
"428",357.49,1994-08-01 22:00:00
"429",355.84,1994-09-01 08:00:00
"430",356,1994-10-01 18:00:00
"431",357.59,1994-11-01 04:00:00
"432",359.05,1994-12-01 14:00:00
"433",359.98,1995-01-01 00:00:00
"434",361.03,1995-01-31 10:00:00
"435",361.66,1995-03-02 20:00:00
"436",363.48,1995-04-02 06:00:00
"437",363.82,1995-05-02 16:00:00
"438",363.3,1995-06-02 02:00:00
"439",361.94,1995-07-02 12:00:00
"440",359.5,1995-08-01 22:00:00
"441",358.11,1995-09-01 08:00:00
"442",357.8,1995-10-01 18:00:00
"443",359.61,1995-11-01 04:00:00
"444",360.74,1995-12-01 14:00:00
"445",362.09,1996-01-01 00:00:00
"446",363.29,1996-01-31 12:00:00
"447",364.06,1996-03-02 00:00:00
"448",364.76,1996-04-01 12:00:00
"449",365.45,1996-05-02 00:00:00
"450",365.01,1996-06-01 12:00:00
"451",363.7,1996-07-02 00:00:00
"452",361.54,1996-08-01 12:00:00
"453",359.51,1996-09-01 00:00:00
"454",359.65,1996-10-01 12:00:00
"455",360.8,1996-11-01 00:00:00
"456",362.38,1996-12-01 12:00:00
"457",363.23,1997-01-01 00:00:00
"458",364.06,1997-01-31 10:00:00
"459",364.61,1997-03-02 20:00:00
"460",366.4,1997-04-02 06:00:00
"461",366.84,1997-05-02 16:00:00
"462",365.68,1997-06-02 02:00:00
"463",364.52,1997-07-02 12:00:00
"464",362.57,1997-08-01 22:00:00
"465",360.24,1997-09-01 08:00:00
"466",360.83,1997-10-01 18:00:00
"467",362.49,1997-11-01 04:00:00
"468",364.34,1997-12-01 14:00:00
